Sn,System,Sub System,Project Number,Sub Contract,Building Number,Floor,Drawing Zone,Discipline,Sub Discipline,Drawing Stage,DN,Column1,Title,21,Review Time Days,Review Time Overdue,25,S_Date,27,28,C_Date,292,Drawing Submission Status,By2,Aref_0,Asub_0,Asub_02,Asub_03,Jvref_0,Jvc_0,Jvcd_0,Cmac_0,Aref_1,Asub_1,Jvref_1,Jvc_1,Jvcd_1,Cmac_1,Aref_2,Asub_2,Jvref_2,Jvc_2,Jvcd_2,Cmac_2,Aref_3,Asub_3,Jvref_3,Jvc_3,Jvcd_3,Cmac_3,Aref_4,Asub_4,Jvref_4,Jvc_4,Jvcd_4,Cmac_4,Aref_5,Asub_5,Jvref_5,Jvc_5,Jvcd_5,Cmac_5,Aref_6,Asub_6,Jvref_6,Jvc_6,Jvcd_6,Cmac_6,Aref_7,Asub_7,Jvref_7,Jvc_7,Jvcd_7,Cmac_7
793,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,4.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-04-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-04,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
794,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,6.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-06-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-06,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
795,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,7.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-07-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-07,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
796,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,8.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-08-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-08,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
797,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,9.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-09-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-09,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
798,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,10.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-10-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-10,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
799,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,11.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-11-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-11,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
800,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,13.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-13-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-13,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
801,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,14.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-14-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-14,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
802,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,15.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-15-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-15,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
803,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,00,0.0,ICT,WAP,SD,0,1300403-ATS-B01-00-00-ICT-WAP-SD-00,Locker Area Wireless Lan Communication System  Plan,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
804,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,FF,0.0,ICT,WAP,SD,0,1300403-ATS-B01-FF-00-ICT-WAP-SD-00,First Floor Wireless Lan Communication Overall System Plan (Departure Level),2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
805,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,FF,1.0,ICT,WAP,SD,0,1300403-ATS-B01-FF-01-ICT-WAP-SD-00,First Floor Wireless Lan Communication System  Plan Part-01,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
806,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,FF,2.0,ICT,WAP,SD,0,1300403-ATS-B01-FF-02-ICT-WAP-SD-00,First Floor Wireless Lan Communication System  Plan Part-02,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
807,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,FF,3.0,ICT,WAP,SD,0,1300403-ATS-B01-FF-03-ICT-WAP-SD-00,First Floor Wireless Lan Communication System  Plan Part-03,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
808,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,FF,4.0,ICT,WAP,SD,0,1300403-ATS-B01-FF-04-ICT-WAP-SD-00,First Floor Wireless Lan Communication System  Plan Part-04,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
809,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,FF,5.0,ICT,WAP,SD,0,1300403-ATS-B01-FF-05-ICT-WAP-SD-00,First Floor Wireless Lan Communication System  Plan Part-05,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
810,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,FF,6.0,ICT,WAP,SD,0,1300403-ATS-B01-FF-06-ICT-WAP-SD-00,First Floor Wireless Lan Communication System  Plan Part-06,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
